Geneid,start,end,strand,seqname,source,feature,score,ID,Parent,Dbxref,Name,Ontology_term,gbkey,gene,go_function,go_process,inference,product,protein_id,transl_table,go_component,Note,partial,pseudo,start_range,end_range,exception
SAUSA300_RS03510,731805,732521,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000532966.1,gene-SAUSA300_RS03510,GenBank:WP_000532966.1,WP_000532966.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499234.1,YebC/PmpR family DNA-binding transcriptional regulator,WP_000532966.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03515,732521,732994,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000833483.1,gene-SAUSA300_RS03515,GenBank:WP_000833483.1,WP_000833483.1,GO:0046872,CDS,NA,metal ion binding|0046872||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499235.1,cupin domain-containing protein,WP_000833483.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03520,733086,733202,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001789973.1,gene-SAUSA300_RS03520,GenBank:WP_001789973.1,WP_001789973.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499236.1,hypothetical protein,WP_001789973.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03525,733347,733991,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000865624.1,gene-SAUSA300_RS03525,GenBank:WP_000865624.1,WP_000865624.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499237.1,DUF402 domain-containing protein,WP_000865624.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03530,734107,734973,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000687411.1,gene-SAUSA300_RS03530,GenBank:WP_000687411.1,WP_000687411.1,GO:0006355!!!GO:0003677!!!GO:0003700,CDS,NA,DNA binding|0003677||IEA!!!DNA-binding transcription factor activity|0003700||IEA,regulation of DNA-templated transcription|0006355||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499238.1,LysR family transcriptional regulator,WP_000687411.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03540,735243,736463,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000367064.1,gene-SAUSA300_RS03540,GenBank:WP_000367064.1,WP_000367064.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499240.1,sugar efflux transporter,WP_000367064.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03545,736460,736948,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000152582.1,gene-SAUSA300_RS03545,GenBank:WP_000152582.1,WP_000152582.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499241.1,DUF456 domain-containing protein,WP_000152582.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03550,737047,737736,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000842860.1,gene-SAUSA300_RS03550,GenBank:WP_000842860.1,WP_000842860.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499242.1,DUF1129 family protein,WP_000842860.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03555,737863,738306,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001259678.1,gene-SAUSA300_RS03555,GenBank:WP_001259678.1,WP_001259678.1,GO:0008080!!!GO:0016746,CDS,NA,N-acetyltransferase activity|0008080||IEA!!!acyltransferase activity|0016746||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499243.1,GNAT family N-acetyltransferase,WP_001259678.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03560,738373,738768,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000733431.1,gene-SAUSA300_RS03560,GenBank:WP_000733431.1,WP_000733431.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499244.1,SA0632 family lipoprotein,WP_000733431.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03565,738906,739205,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000545115.1,gene-SAUSA300_RS03565,GenBank:WP_000545115.1,WP_000545115.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499245.1,hypothetical protein,WP_000545115.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03570,739285,739827,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000638613.1,gene-SAUSA300_RS03570,GenBank:WP_000638613.1,WP_000638613.1,GO:0008080!!!GO:0016746,CDS,NA,N-acetyltransferase activity|0008080||IEA!!!acyltransferase activity|0016746||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499246.1,GNAT family N-acetyltransferase,WP_000638613.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03575,739923,740489,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000820892.1,gene-SAUSA300_RS03575,GenBank:WP_000820892.1,WP_000820892.1,GO:0009691!!!GO:0016787,CDS,NA,hydrolase activity|0016787||IEA,cytokinin biosynthetic process|0009691||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499247.1,TIGR00730 family Rossman fold protein,WP_000820892.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03580,740491,740949,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000148828.1,gene-SAUSA300_RS03580,GenBank:WP_000148828.1,WP_000148828.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499248.1,YaiI/YqxD family protein,WP_000148828.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03585,740952,741635,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000358498.1,gene-SAUSA300_RS03585,GenBank:WP_000358498.1,WP_000358498.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499249.1,hypothetical protein,WP_000358498.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03590,741807,742682,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000469890.1,gene-SAUSA300_RS03590,GenBank:WP_000469890.1,WP_000469890.1,GO:0016311!!!GO:0050380!!!GO:0016020,CDS,NA,undecaprenyl-diphosphatase activity|0050380||IEA,dephosphorylation|0016311||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499250.1,undecaprenyl-diphosphate phosphatase,WP_000469890.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03595,742895,744526,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000737143.1,gene-SAUSA300_RS03595,GenBank:WP_000737143.1,WP_000737143.1,GO:0042883!!!GO:0005524!!!GO:0140359!!!GO:0016020,CDS,NA,ATP binding|0005524||IEA!!!ABC-type transporter activity|0140359||IEA,cysteine transport|0042883||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499251.1,ABC transporter ATP-binding protein/permease,WP_000737143.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03600,744523,746196,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000857602.1,gene-SAUSA300_RS03600,GenBank:WP_000857602.1,WP_000857602.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499252.1,amino acid ABC transporter ATP-binding/permease protein,WP_000857602.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03605,746323,746766,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001283444.1,gene-SAUSA300_RS03605,GenBank:WP_001283444.1,WP_001283444.1,NA,CDS,mgrA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499253.1,HTH-type transcriptional regulator MgrA,WP_001283444.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03610,746993,747919,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000794407.1,gene-SAUSA300_RS03610,GenBank:WP_000794407.1,WP_000794407.1,GO:0003924!!!GO:0005525!!!GO:0046872,CDS,NA,GTPase activity|0003924||IEA!!!GTP binding|0005525||IEA!!!metal ion binding|0046872||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499254.1,CobW family GTP-binding protein,WP_000794407.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03615,748022,748930,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000435108.1,gene-SAUSA300_RS03615,GenBank:WP_000435108.1,WP_000435108.1,GO:0016491!!!GO:0050661,CDS,NA,oxidoreductase activity|0016491||IEA!!!NADP binding|0050661||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499255.1,aldo/keto reductase,WP_000435108.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03620,748965,749252,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000180419.1,gene-SAUSA300_RS03620,GenBank:WP_000180419.1,WP_000180419.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499256.1,hypothetical protein,WP_000180419.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03625,749535,751088,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001288049.1,gene-SAUSA300_RS03625,GenBank:WP_001288049.1,WP_001288049.1,GO:0006811!!!GO:0055085!!!GO:0015293!!!GO:0022857!!!GO:0016020,CDS,NA,symporter activity|0015293||IEA!!!transmembrane transporter activity|0022857||IEA,monoatomic ion transport|0006811||IEA!!!transmembrane transport|0055085||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499257.1,SLC13 family permease,WP_001288049.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03630,751174,752547,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000952048.1,gene-SAUSA300_RS03630,GenBank:WP_000952048.1,WP_000952048.1,GO:0006281!!!GO:0003677!!!GO:0003913!!!GO:0050660,CDS,NA,DNA binding|0003677||IEA!!!DNA photolyase activity|0003913||IEA!!!flavin adenine dinucleotide binding|0050660||IEA,DNA repair|0006281||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499258.1,cryptochrome/photolyase family protein,WP_000952048.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03635,752702,752986,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000154465.1,gene-SAUSA300_RS03635,GenBank:WP_000154465.1,WP_000154465.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000154460.1,hypothetical protein,WP_000154465.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03640,752983,753600,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001191874.1,gene-SAUSA300_RS03640,GenBank:WP_001191874.1,WP_001191874.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499260.1,DUF1361 domain-containing protein,WP_001191874.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03645,753786,754208,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000776018.1,gene-SAUSA300_RS03645,GenBank:WP_000776018.1,WP_000776018.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499261.1,PPC domain-containing DNA-binding protein,WP_000776018.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03650,754417,755583,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001041272.1,gene-SAUSA300_RS03650,GenBank:WP_001041272.1,WP_001041272.1,NA,CDS,norA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499262.1,multidrug efflux MFS transporter NorA,WP_001041272.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03655,755876,756328,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000216727.1,gene-SAUSA300_RS03655,GenBank:WP_000216727.1,WP_000216727.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499263.1,hypothetical protein,WP_000216727.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03660,756502,756984,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001107241.1,gene-SAUSA300_RS03660,GenBank:WP_001107241.1,WP_001107241.1,GO:0043039!!!GO:0002161,CDS,ybaK,aminoacyl-tRNA editing activity|0002161||IEA,tRNA aminoacylation|0043039||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499264.1,Cys-tRNA(Pro) deacylase,WP_001107241.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03665,757234,757998,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000972699.1,gene-SAUSA300_RS03665,GenBank:WP_000972699.1,WP_000972699.1,GO:0003677!!!GO:0003700,CDS,NA,DNA binding|0003677||IEA!!!DNA-binding transcription factor activity|0003700||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499265.1,DeoR/GlpR family DNA-binding transcription regulator,WP_000972699.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03670,757995,758915,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000640743.1,gene-SAUSA300_RS03670,GenBank:WP_000640743.1,WP_000640743.1,GO:0008662,CDS,pfkB,1-phosphofructokinase activity|0008662||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499266.1,1-phosphofructokinase,WP_000640743.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03675,758921,760879,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001266541.1,gene-SAUSA300_RS03675,GenBank:WP_001266541.1,WP_001266541.1,GO:0009401!!!GO:0022877!!!GO:0016020,CDS,NA,protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity|0022877||IEA,phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499267.1,PTS fructose transporter subunit IIABC,WP_001266541.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03685,761187,762368,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001292247.1,gene-SAUSA300_RS03685,GenBank:WP_001292247.1,WP_001292247.1,GO:0006044!!!GO:0008448,CDS,nagA,N-acetylglucosamine-6-phosphate deacetylase activity|0008448||IEA,N-acetylglucosamine metabolic process|0006044||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499269.1,N-acetylglucosamine-6-phosphate deacetylase,WP_001292247.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03690,762589,763938,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000450257.1,gene-SAUSA300_RS03690,GenBank:WP_000450257.1,WP_000450257.1,GO:0005886!!!GO:0016020,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499270.1,hemolysin family protein,WP_000450257.1,11,plasma membrane|0005886||IEA!!!membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03695,764160,764999,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000931237.1,gene-SAUSA300_RS03695,GenBank:WP_000931237.1,WP_000931237.1,GO:0016491,CDS,NA,oxidoreductase activity|0016491||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499271.1,aldo/keto reductase,WP_000931237.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03700,765131,766114,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000702782.1,gene-SAUSA300_RS03700,GenBank:WP_000702782.1,WP_000702782.1,NA,CDS,csbB,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499272.1,lipoteichoic acid-specific glycosylation protein CsbB,WP_000702782.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03705,766186,767241,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000244412.1,gene-SAUSA300_RS03705,GenBank:WP_000244412.1,WP_000244412.1,NA,CDS,saeS,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499273.1,two-component system sensor histidine kinase SaeS,WP_000244412.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03710,767241,767927,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000149344.1,gene-SAUSA300_RS03710,GenBank:WP_000149344.1,WP_000149344.1,NA,CDS,saeR,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499274.1,response regulator transcription factor SaeR,WP_000149344.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03715,767902,768375,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001037807.1,gene-SAUSA300_RS03715,GenBank:WP_001037807.1,WP_001037807.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499275.1,DoxX family membrane protein,WP_001037807.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03720,768717,769157,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001093553.1,gene-SAUSA300_RS03720,GenBank:WP_001093553.1,WP_001093553.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499276.1,DM13 domain-containing protein,WP_001093553.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03725,769437,770021,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000637687.1,gene-SAUSA300_RS03725,GenBank:WP_000637687.1,WP_000637687.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499277.1,hypothetical protein,WP_000637687.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03730,770120,770833,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001062972.1,gene-SAUSA300_RS03730,GenBank:WP_001062972.1,WP_001062972.1,GO:0006400!!!GO:0051539!!!GO:1904047,CDS,queE,4 iron%2C 4 sulfur cluster binding|0051539||IEA!!!S-adenosyl-L-methionine binding|1904047||IEA,tRNA modification|0006400||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499278.1,7-carboxy-7-deazaguanine synthase QueE,WP_001062972.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03735,770837,771256,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000941336.1,gene-SAUSA300_RS03735,GenBank:WP_000941336.1,WP_000941336.1,GO:0008616!!!GO:0003824,CDS,queD,catalytic activity|0003824||IEA,queuosine biosynthetic process|0008616||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499279.1,6-carboxytetrahydropterin synthase QueD,WP_000941336.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03740,771258,771926,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000446724.1,gene-SAUSA300_RS03740,GenBank:WP_000446724.1,WP_000446724.1,GO:0008616,CDS,queC,NA,queuosine biosynthetic process|0008616||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499280.1,7-cyano-7-deazaguanine synthase QueC,WP_000446724.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03745,772277,772870,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000604514.1,gene-SAUSA300_RS03745,GenBank:WP_000604514.1,WP_000604514.1,GO:0000162!!!GO:0004049,CDS,NA,anthranilate synthase activity|0004049||IEA,tryptophan biosynthetic process|0000162||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499281.1,anthranilate synthase component II,WP_000604514.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03750,772854,774005,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001217785.1,gene-SAUSA300_RS03750,GenBank:WP_001217785.1,WP_001217785.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499282.1,chorismate-binding protein,WP_001217785.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03755,774005,774613,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001175781.1,gene-SAUSA300_RS03755,GenBank:WP_001175781.1,WP_001175781.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499283.1,aminotransferase class IV,WP_001175781.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03760,774679,774885,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001790169.1,gene-SAUSA300_RS03760,GenBank:WP_001790169.1,WP_001790169.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499284.1,hypothetical protein,WP_001790169.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03765,774973,775683,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000708692.1,gene-SAUSA300_RS03765,GenBank:WP_000708692.1,WP_000708692.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499285.1,allophanate hydrolase subunit 1,WP_000708692.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03770,775667,776671,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000022323.1,gene-SAUSA300_RS03770,GenBank:WP_000022323.1,WP_000022323.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499286.1,biotin-dependent carboxyltransferase family protein,WP_000022323.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03775,777145,779085,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000098285.1,gene-SAUSA300_RS03775,GenBank:WP_000098285.1,WP_000098285.1,NA,CDS,ltaS,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499287.1,polyglycerol-phosphate lipoteichoic acid synthase LtaS,WP_000098285.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03785,779356,781239,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000525112.1,gene-SAUSA300_RS03785,GenBank:WP_000525112.1,WP_000525112.1,GO:0005524!!!GO:0016887,CDS,NA,ATP binding|0005524||IEA!!!ATP hydrolysis activity|0016887||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499289.1,ABC-F family ATP-binding cassette domain-containing protein,WP_000525112.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03790,781251,783032,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000983677.1,gene-SAUSA300_RS03790,GenBank:WP_000983677.1,WP_000983677.1,GO:0006310!!!GO:0009432!!!GO:0003678,CDS,recQ,DNA helicase activity|0003678||IEA,DNA recombination|0006310||IEA!!!SOS response|0009432||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499290.1,DNA helicase RecQ,WP_000983677.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03795,783254,784231,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000589260.1,gene-SAUSA300_RS03795,GenBank:WP_000589260.1,WP_000589260.1,GO:0005524!!!GO:0016887!!!GO:0042626!!!GO:0140359,CDS,NA,ATP binding|0005524||IEA!!!ATP hydrolysis activity|0016887||IEA!!!ATPase-coupled transmembrane transporter activity|0042626||IEA!!!ABC-type transporter activity|0140359||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499291.1,ABC transporter ATP-binding protein,WP_000589260.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03800,784224,785738,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000180991.1,gene-SAUSA300_RS03800,GenBank:WP_000180991.1,WP_000180991.1,GO:0042626!!!GO:0140359!!!GO:0016020!!!GO:0043190!!!GO:0055052,CDS,NA,ATPase-coupled transmembrane transporter activity|0042626||IEA!!!ABC-type transporter activity|0140359||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499292.1,ABC transporter permease/substrate-binding protein,WP_000180991.1,11,membrane|0016020||IEA!!!ATP-binding cassette (ABC) transporter complex|0043190||IEA!!!ATP-binding cassette (ABC) transporter complex%2C substrate-binding subunit-containing|0055052||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03805,785978,787036,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000663030.1,gene-SAUSA300_RS03805,GenBank:WP_000663030.1,WP_000663030.1,GO:0000105!!!GO:0004400,CDS,hisC,histidinol-phosphate transaminase activity|0004400||IEA,L-histidine biosynthetic process|0000105||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499293.1,histidinol-phosphate transaminase,WP_000663030.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03810,787387,787929,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000197273.1,gene-SAUSA300_RS03810,GenBank:WP_000197273.1,WP_000197273.1,GO:0009264!!!GO:0008253,CDS,NA,5'-nucleotidase activity|0008253||IEA,deoxyribonucleotide catabolic process|0009264||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499294.1,5' nucleotidase%2C NT5C type,WP_000197273.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03815,788553,789470,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000429014.1,gene-SAUSA300_RS03815,GenBank:WP_000429014.1,WP_000429014.1,GO:0008654!!!GO:0016310!!!GO:0001727!!!GO:0005524,CDS,NA,lipid kinase activity|0001727||IEA!!!ATP binding|0005524||IEA,phospholipid biosynthetic process|0008654||IEA!!!phosphorylation|0016310||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499296.1,diacylglycerol/lipid kinase family protein,WP_000429014.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03820,789561,789662,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001790641.1,gene-SAUSA300_RS03820,GenBank:WP_001790641.1,WP_001790641.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_499297.1,hypothetical protein,WP_001790641.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03825,789740,791245,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000193752.1,gene-SAUSA300_RS03825,GenBank:WP_000193752.1,WP_000193752.1,GO:0015833!!!GO:0055085!!!GO:0022857!!!GO:1904680!!!GO:0016020,CDS,NA,transmembrane transporter activity|0022857||IEA!!!peptide transmembrane transporter activity|1904680||IEA,peptide transport|0015833||IEA!!!transmembrane transport|0055085||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499298.1,peptide MFS transporter,WP_000193752.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03830,791586,792086,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000930014.1,gene-SAUSA300_RS03830,GenBank:WP_000930014.1,WP_000930014.1,GO:0008616!!!GO:0033739!!!GO:0046857!!!GO:0005737,CDS,queF,preQ1 synthase activity|0033739||IEA!!!oxidoreductase activity%2C acting on other nitrogenous compounds as donors%2C with NAD or NADP as acceptor|0046857||IEA,queuosine biosynthetic process|0008616||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_499299.1,preQ(1) synthase,WP_000930014.1,11,cytoplasm|0005737||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS03835,792106,792972,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001068497.1,gene-SAUSA300_RS03835,GenBank:WP_001068497.1,WP_001068497.1,GO:0055085!!!GO:0022857!!!GO:0016020,CDS,NA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_001594836.1,DMT family transporter,WP_001068497.1,11,membrane|0016020||IEA,NA,NA,NA,NA,NA,NA
